id	prodotto	descrizione	categoria
134054969	stark 358mc	mobile blindato con combinazione elettronica motorizzata porta 10 mm corpo 10 mm	_@cassaforte_
134054970	stark 359mc	mobile blindato con combinazione elettronica motorizzata porta 10 mm corpo 10 mm	_@cassaforte_
134425450	rottner sentry h2100 cassetta di sicurezza antincendio t05476	rottner sentry h2100 cassetta di sicurezza antincendio t05476	_@cassaforte_
134425453	rottner valigetta portadenaro traun 2 maniglia per il trasportot02352	realizzata in acciaio di alta qualità maniglia in alto per portare la cassetta serratura a cilindro con chiave 2 chiavi scomparto per le banconote 3 scomparti dimensioni h 90 x l 200 x l 165 mm	_@cassaforte_
134425455	rottner valigetta portadenaro traun 2 con manico t02900	realizzata in acciaio di alta qualità maniglia in alto per portare la cassetta serratura a cilindro con chiave 2 chiavi scomparto per le banconote 3 scomparti dimensioni h 90 x l 200 x l 165 mm	_@cassaforte_
134506536	rottner sentry cassetta di sicurezza antincendio t05537	rottner sentry cassetta di sicurezza antincendio t05537	_@cassaforte_
135033355	rottner armadietto di sicurezza per chiavi con chiusura elettrica e sportellino laterale t04259	rottner armadietto di sicurezza per chiavi con chiusura elettrica e sportellino laterale t04259	_@cassaforte_
135305752	rottner armadietto portachiavi st 70 premium con codice elettronico vdma 24992 a t05162	rottner armadietto portachiavi st 70 premium con codice elettronico vdma 24992 a t05162	_@cassaforte_
136981693	cassaforte cassetta ignifuga per documenti cartacei technomax seri...	specifiche tecniche cassetta ignifuga trasportabile per la protezione di documenti cartacei di piccoli formati protezione al fuoco 30 minuti completamente realizzata in resina speciale a doppio corpo. l intercapedine egrave in materiale refrattario d	_@cassaforte_
137877253	rottner valigetta portadenaro traun 3 argento t02901	realizzata in acciaio di alta qualità maniglia in alto per portare la cassetta serratura a cilindro con chiave 2 chiavi scomparto per le banconote 3 scomparti dimensioni h 90 x l 250 x l 185 mm	_@cassaforte_
138153026	rottner valigetta portadenaro traun 2 nero t02736	realizzata in acciaio di alta qualità maniglia in alto per portare la cassetta serratura a cilindro con chiave 2 chiavi scomparto per le banconote 3 scomparti dimensioni h 90 x l 200 x l 165 mm	_@cassaforte_
138371836	burg wächter cks 207 cassetta portavalori universale argento 205 x 160 x 75 mm	cassetta portavalori molto in voga con serratura a cilindro e perno in ottone maniglia incassata cerniera nascosta forma piana buona qualità	_@cassaforte_
139845472	blinky bkc36dm casseforti a doppia mappa 36x23x19.5	doppia mappa frontale tappetino e ripiano interno 2 catenacci diametro 18 mm	_@cassaforte_
143124167	metalplus cassetta portavalori europa 30x24x9cm blu	struttura in metallo con portamonete. serratura a cilindro. complete di due chiavi.3 scomparti per le banconote.	_@cassaforte_
144340237	kingavon safe28 large electronic safe	costruita di acciaio massiccio con rivestimento interno ed esterno a polvere chiusura elettronica sicura la massimo che può essere programmata con ogni combinazione numerica da 3 a 8 numeri ha due cassetti rimovibili e due chiavi per il back up ha due buc	_@cassaforte_
151640676	sterling cb03cbk cassetta portavalori con lucchetto a combinazione 25 5 cm colore nero	cassetta portavalori da 25 5 cm con lucchetto a combinazione con 3 cifre. combinazione reimpostabile. divisore rimovibile interno per monete. maniglia a incasso robusta in metallo. finitura nera.	_@cassaforte_
153128950	cisa 2717020 82010 41 casseforti con chiave 42 x 30 x 25	con chiave 42x30x25 in acciaio verniciato	_@cassaforte_
153129457	cisa 2717410 82210 31 casseforti chiave e comb 36 x 24 x 20	chiave combinatore 36x24x20 in acciaio verniciato	_@cassaforte_
154136810	3d home design homedesign 006504 hdm 510 cassetta portalettere	homedesign 006504 hdm 510 cassetta portalettere	_@cassaforte_
156251212	metalplus cassetta portavalori secur 25x18x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
156251220	metalplus cassetta portavalori europa 30x24x9cm blu unità vendita 1 pz. 	struttura in metallo con portamonete. serratura a cilindro. complete di due chiavi.3 scomparti per le banconote.	_@cassaforte_
157775260	cassaforte per hotel ignifuga h20008	cassaforte ignifuga predisposta per l ancoraggio a pavimento. serratura elettronica autoprogrammabile. funzionamento a batterie. dimensioni 345x485x400 mm	_@cassaforte_
157791600	makita set di seghe a tazza ezychange bimetalliche per elettricisti 1 b 11972	makita set di seghe a tazza ezychange bimetalliche per elettricisti 1 b 11972	_@cassaforte_
161723482	juwel cassetta di sicurezza serie 56 elerunner 5666	la juwel cassetta di sicurezza serie 56 elerunner 5666 è un portavalori a muro con sistema di sicurezza a combinazione elettronica con blocco anti manipolazione per una maggiore sicurezza. dotata di porta in acciaio con spessore 8mm e ben 2 catenacci con	_@cassaforte_
161857769	juwel cassetta di sicurezza serie 56 elerunner 5623	la juwel cassetta di sicurezza serie 56 elerunner 5623 è un portavalori a muro con sistema di sicurezza a combinazione elettronica con blocco anti manipolazione per una maggiore sicurezza. dotata di porta in acciaio con spessore 8mm e ben 2 catenacci con	_@cassaforte_
162599805	shopclean cassetta porta valori con chiave	cassetta porta valori con chiave di sicurezza dotata di 2 cilindri di chiusura antitaglio. corpo 2mm porta rinforzata 3mm. peso 5 5 kg. dimensioni 22x19x18 cm	_@cassaforte_
163229166	3d home design homedesign 104382 cassetta portalettere hdm 1640 colore nero	homedesign 104382 cassetta portalettere hdm 1640 colore nero	_@cassaforte_
163863652	sterling security products sterling armadietto per le chiavi a combinazione con 36 ganci	sterling armadietto per le chiavi a combinazione con 36 ganci	_@cassaforte_
165060206	pavo manager di denaro 5 star 300x240x90 mm antracite 790166	robusta cassetta d acciaio porta denaro dotata di vassoio per la moneta a 8 scomparti rimovibile e 3 corridoi preformati per monete robusta maniglia a scomparsa sistema di chiusura ad incastro dotato di 2 chiavi di sicurezza..	_@cassaforte_
165312372	juwel cassetta di sicurezza serie 68 deposafe 6874	la juwel cassetta di sicurezza serie 68 deposafe 6874 è una cassaforte a mobile con combinazione elettronica estremamente sicura. e dotata infatti di serrature corazzate con piastra di rinforzo in acciaio al manganese di catenacci indipendenti di 25mm d	_@cassaforte_
165352116	metalplus cassetta portavalori in metallo grigio con portamonete 15x11x7cm	cassetta portavalori in pesante lamiera verniciata a forno in polvere epossidica. maniglia di presa in filo d acciaio nichelato incassata sul coperchio. cilindro di sicurezza nichelat prezzo 14.05€ oltre 5 pezzi 12.65€	_@cassaforte_
165352119	metalplus cassetta portavalori secur 30x24x9cm grigio	cassetta portavalori in pesante lamiera verniciata a forno in polvere epossidica. maniglia di presa in filo d acciaio nichelato incassata sul coperchio. cilindro di sicurezza nichelat prezzo 22.04€ oltre 5 pezzi 19.83€	_@cassaforte_
165364272	sentrysafe cassaforte cassacontinua sentry safe 35 5x39 6x50 8 cm 34 8x28 7x26 7 cm 43 1 kg dh74e	cassaforte da appoggio per introduzione denaro con cassetto e sistema di anti ripescaggio. alta resistenza allo scasso grazie allo spessore della porta di ben 12 mm ed alla piastra di acciaio al manganese anti perforazione a protezione della serratu	_@cassaforte_
167816047	arregui c9216 cassetta portavalori con vassoio portamonete blu	arregui c9216 cassetta portavalori con vassoio portamonete blu	_@cassaforte_
168040992	sentry safe cassaforte cassacontinua sentry safe dh74e	 spedizione gratuita cassaforte da appoggio per introduzione denaro con cassetto e sistema di anti ripescaggio. alta resistenza allo scasso grazie allo spessore della porta di ben 12 mm ed alla piastra di acciaio al manganese anti perforazione	_@cassaforte_
168040998	lebez cassetta sicurezza dizionario lebez 80088	 spedizione gratuita da €. 42.69 cassetta dizionario media. la cassetta si compone di una struttura esterna a forma di libro all interno della quale si colloca la cassetta metallica con chiusura a chiave. formato interno 23x14 5x5 5 cm	_@cassaforte_
168041002	pavo manager di denaro pavo 8041392	 spedizione gratuita da €. 42.69 robusta cassetta d acciaio porta denaro dotata di vassoio per la moneta a 8 scomparti rimovibile e 3 corridoi preformati per monete robusta maniglia a scomparsa sistema di chiusura ad incastro dotato	_@cassaforte_
171653661	basi cassetta di sicurezza elettronica 200 x 310 x 200 mm con display 2115 0000	basi cassetta di sicurezza elettronica 200 x 310 x 200 mm con display 2115 0000	_@cassaforte_
171870074	perel 1819 42a nero cassetta degli attrezzi	perel 1819 42a nero cassetta degli attrezzi	_@cassaforte_
173829124	metalplus cassetta portavalori secur 20x16x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. completo di due chiavi. completo di due chiavi. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
173829125	metalplus cassetta portavalori secur 25x18x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
173829127	metalplus cassetta portavalori secur 37x28x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. completo di due chiavi. inclusa vaschetta in plastica con 8 scomparti 4 portamonete 4 portabanconote completamente estraibile.	_@cassaforte_
173829128	metalplus cassetta portavalori europa 30x24x9cm blu unità vendita 1 pz. 	struttura in metallo con portamonete. serratura a cilindro. complete di due chiavi.3 scomparti per le banconote.	_@cassaforte_
174219618	staco 88358 cassetta di sicurezza per laptop	staco 88358 cassetta di sicurezza per laptop	_@cassaforte_
174257840	juwel cassetta di sicurezza serie 50 frankfurt 5034	la juwel cassetta di sicurezza serie 50 frankfurt 5034 è una cassaforte a muro estremamente sicura con apertura a chiave. e dotata infatti di serrature corazzate con piastra di rinforzo in acciaio al manganese di catenacci con diametro 20mm montati su d	_@cassaforte_
174257841	juwel cassetta di sicurezza serie 56 elerunner 5614	la juwel cassetta di sicurezza serie 56 elerunner 5614 è un portavalori a muro con sistema di sicurezza a combinazione elettronica con blocco anti manipolazione per una maggiore sicurezza. dotata di porta in acciaio con spessore 8mm e ben 2 catenacci con	_@cassaforte_
174429954	joma ccv 01250 n vintage fund 5 moneta blu b011upihoy	joma ccv 01250 n vintage fund 5 moneta blu b011upihoy	_@cassaforte_
174480010	rottner t05766 pacchetto accettazione pacco casella custode nero	rottner t05766 pacchetto accettazione pacco casella custode nero	_@cassaforte_
174483603	rottner t05775 x key schluesseltresor	rottner t05775 x key schluesseltresor	_@cassaforte_
174483745	joma ccv 01240 n 4 caso vintage blu moneta b011uphxps	joma ccv 01240 n 4 caso vintage blu moneta b011uphxps	_@cassaforte_
174563076	joma ccv01260 vintage n6 cashbox blu	joma ccv01260 vintage n6 cashbox blu	_@cassaforte_
175474839	joma ccv01280 vintage n 1h cashbox blu	joma ccv01280 vintage n 1h cashbox blu	_@cassaforte_
176023116	joma ccv01270 vintage n0h cashbox blu	joma ccv01270 vintage n0h cashbox blu	_@cassaforte_
176460805	3d home design homedesign 104421 mailbox 104.421 hdk 2100 black 	homedesign 104421 mailbox 104.421 hdk 2100 black 	_@cassaforte_
178958170	pavo manager di denaro helix 305x230x90 mm antracite 8041392		_@cassaforte_
179611671	cassetta portavalori deluxe 3413bl	 spedizione gratuita da €. 42.69 cassette portavalori realizzate internamente in acciaio pressofuso senza saldature. la verniciatura a polvere ne garantisce durata e inalterabilità. innovativo e brevettato meccanismo di apertura automatica. ser	_@cassaforte_
179611674	cassetta portavalori deluxe 3414bl	 spedizione gratuita da €. 42.69 cassette portavalori realizzate internamente in acciaio pressofuso senza saldature. la verniciatura a polvere ne garantisce durata e inalterabilità. innovativo e brevettato meccanismo di apertura automatica. ser	_@cassaforte_
180318805	rottner laptop glei traveller chschies send t05812	rottner laptop glei traveller chschies send t05812	_@cassaforte_
180435145	lebez cassetta sicurezza dizionario lebez 24 5x16x6 cm 80088	 consegna gratis con ordine totale di € 67 10 diritto di recesso entro 30gg dimensioni 24 5x16x6 cm tipologia cassetta di sicurezza dimensioni lxpxh 16x24 5x6 cm chiusura chiave materiale carta plastica metallo	_@cassaforte_
180435157	5 star cassetta portavalori deluxe 197x154x80 mm blu 3413bl	 consegna gratis con ordine totale di € 67 10 diritto di recesso entro 30gg dimensioni 197x154x80 mm colore blu materiale acciaio apertura chiave maniglia automatica tipologia cassetta portavalori chiusura chiave imballo cellophane scato	_@cassaforte_
180435163	5 star cassetta portavalori deluxe 300x230x80 mm blu 3415bl	 consegna gratis con ordine totale di € 67 10 diritto di recesso entro 30gg dimensioni 300x230x80 mm colore blu materiale acciaio apertura chiave maniglia automatica tipologia cassetta portavalori chiusura chiave imballo cellophane scato	_@cassaforte_
180435168	pavo manager di denaro 5 star 300x240x90 mm antracite 790166	 consegna gratis con ordine totale di € 67 10 diritto di recesso entro 30gg dimensioni 305x230x90 mm colore antracite materiale acciaio	_@cassaforte_
180442759	sentry safe bauletto ignifugo e water proof sentry safe 30 minuti 391x363x168 mm lchw 20101	 consegna gratis in tutta italia diritto di recesso entro 30gg capacità 30 minuti dimensioni esterne 391x363x168 mm materiale carta e digitali caratteristica fuoco e resistente all acqua fino a 2 atm di pressione dimensioni 325x216x112 tipolog	_@cassaforte_
180442760	sentry safe bauletto ignifugo e water proof sentry safe 60 minuti 395x375x193 mm lcfw30100	 consegna gratis in tutta italia diritto di recesso entro 30gg capacità 60 minuti dimensioni esterne 395x375x193 mm materiale carta e digitali caratteristica fuoco e resistente all acqua fino a 2 atm di pressione dimensioni 327x232x136 tipolog	_@cassaforte_
180444583	sentry safe bauletto ignifugo e water proof sentry safe 60 minuti 395x375x193 mm lcfw30100	bauletto ignifugo e water proof. certificazione ignifuga ul classified 60 minuti per la protezione dei supporti cartacei in caso di incendio. certificazione ignifuga etl per 60 minuti per la protezione dei supporti digitali cd dvd hard disk. in caso d	_@cassaforte_
180584915	makita b 11988 ezychange bim set 2 elettricisti	makita b 11988 ezychange bim set 2 elettricisti	_@cassaforte_
181033116	default_brands cassetta portavalori deluxe 230x185x80 mm blu 3414bl		_@cassaforte_
181033118	default_brands cassetta portavalori deluxe 197x154x80 mm blu 3413bl		_@cassaforte_
181033122	sentry safe bauletto ignifugo e water proof sentry safe 60 minuti 395x375x193 mm lcfw30100		_@cassaforte_
181035362	dörr koffer argento 30	485030 eu garanzia europa	_@cassaforte_
181115877	cassaforte elettronica display led sistema touch dimensioni 13 x 40 x 35 cm modello cstop	caratteristiche innovativo sistema touch e display led integrato nella porta attivabile con tasto chiave l apertura dall alto permette un ergonomico accesso al contenuto installazione in cassetto già esistente o incasso a filo mobile perfetta integrazion	_@cassaforte_
181220768	cassaforte cassetta ignifuga per documenti cartacei technomax seri...	specifiche tecniche cassetta ignifuga trasportabile per la protezione di documenti cartacei per raccoglitori sospesi protezione al fuoco 30 minuti completamente realizzata in resina speciale a doppio corpo. l intercapedine egrave in materiale refratt	_@cassaforte_
181333555	gt line explorer explorer cases 10826 gt line valigia a tenuta stagna in polipropilene copolimero	specifiche tecnichelwd	_@cassaforte_
181699550	vidaxl set punte trapano e scalpelli sds 17 pz cofanettlo in metallo	set punte e scalpelli sds adatto a tutte le macchine dotate di adattatore sds plus. il set di punte e scalpelli comprende 17 differenti pezzi e un cofanetto in metallo.	_@cassaforte_
181793556	technomax armadietti di sicurezza combinazione elettronica per tvcc technomax	tvc 24e armadietti di sicurezza combinazione elettronica per tvcc. struttura in lamiera d acciaio pressopiegata e saldata dello spessore di 2 mm. spessore della porta 4 mm. 2 catenacci frontali in acciaio nichelato ø 22 mm. battente rinforzato con piatt	_@cassaforte_
184435963	maurer 3070300 arca con il tasto 22 x 13 x 11 cm 	l. x h. x p. 22x13x11 cm. peso 4 3 kg.	_@cassaforte_
184435968	arregui classe di sicurezza sovrapporre t25k chiave	arregui classe di sicurezza sovrapporre t25k chiave	_@cassaforte_
184436081	fac 25006 cassetta di sicurezza con pulsante numero 2 colore rosso	cassetta di sicurezza acciaio ad alta resistenza apertura mediante chiave pulsante verniciatura epossidica	_@cassaforte_
185451761	sentry safe bauletto ignifugo e water proof sentry safe 60 minuti 395x375x193 mm lcfw30100	bauletto ignifugo e water proof. certificazione ignifuga ul classified 60 minuti per la protezione dei supporti cartacei in caso di incendio. certificazione ignifuga etl per 60 minuti per la protezione dei supporti digitali cd dvd hard disk. in caso d	_@cassaforte_
185642712	3d home design homedesign 104433 hdk 2400 portachiavi colore nero	homedesign 104433 hdk 2400 portachiavi colore nero	_@cassaforte_
187076330	cisa 2717620 82710 51 casseforti elettronica 49 x 36 x 25	82710 51 49x36x25 in acciaio verniciato	_@cassaforte_
187663454	sentry safe cassetta di sicurezza da 5 6 kg t05471	esterno mm 155h x 309w x 260d interno mm 95h x 247w x 185d volume 4 litri antincendio 30 min.	_@cassaforte_
189051232	blinky 2716750 casseforti 851 elettronica	elettronica piastra frontale monoblocco 31 x 21 x 15	_@cassaforte_
189455017	rottner t05773 soluzione premium cassetta di sicurezza stesso di chiusura	rottner t05773 soluzione premium cassetta di sicurezza stesso di chiusura	_@cassaforte_
190810378	yale certified casa sicura	esterno mm 250h x 350w x 300d interno mm 240h x 337w x 230d volume 18 litri chiusura elettronica	_@cassaforte_
190983746	juwel cassetta di sicurezza serie 56 elerunner 5645	la juwel cassetta di sicurezza serie 56 elerunner 5645 è un portavalori a muro con sistema di sicurezza a combinazione elettronica con blocco anti manipolazione per una maggiore sicurezza. dotata di porta in acciaio con spessore 8mm e ben 2 catenacci con	_@cassaforte_
192788067	blinky cassetta porta lettere blinky lumaca acciaio nero 21x85x30h	spedizione gratis a partire da 69 90 pagamenti anche alla consegna cassetta porta lettere blinky lumaca acciaio nero 21x85x30h	_@cassaforte_
192806734	blinky casseforte blinky pavimento 368 keycombinatore 58x50x70h	spedizione gratis a partire da 69 90 nessuna commissione extra se paghi con carta paypal casseforte blinky pavimento 368 keycombinatore 58x50x70h	_@cassaforte_
192806735	blinky casseforte blinky pavimento 366 keycombinatore 49x50x42h	spedizione gratis a partire da 69 90 nessuna commissione extra se paghi con carta paypal casseforte blinky pavimento 366 keycombinatore 49x50x42h	_@cassaforte_
192806736	blinky casseforte blinky 852 elettronica 36x23x195	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 852 elettronica 36x23x195	_@cassaforte_
192806737	blinky casseforte blinky 851 elettronica 31x21x15	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 851 elettronica 31x21x15	_@cassaforte_
192806738	blinky casseforte blinky 285np combinazione 49x32x25	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 285np combinazione 49x32x25	_@cassaforte_
192806739	blinky casseforte blinky 284nptk combinazione 42x28x25	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 284nptk combinazione 42x28x25	_@cassaforte_
192806740	blinky casseforte blinky 282tk combinazione 36x23x195	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 282tk combinazione 36x23x195	_@cassaforte_
192806741	blinky casseforte blinky 281ptk combinazione 31x21x195	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky 281ptk combinazione 31x21x195	_@cassaforte_
192806743	blinky casseforte blinky bkc39e elettronica 39x26x184	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky bkc39e elettronica 39x26x184	_@cassaforte_
192806744	blinky casseforte blinky bkc42dm doppia mappa 42x28x25	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky bkc42dm doppia mappa 42x28x25	_@cassaforte_
192806745	blinky casseforte blinky bkc36dm doppia mappa 36x23x195	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky bkc36dm doppia mappa 36x23x195	_@cassaforte_
192806746	blinky casseforte blinky bkc26dm doppia mappa 26x18x15	spedizione gratis a partire da 69 90 pagamenti anche alla consegna casseforte blinky bkc26dm doppia mappa 26x18x15	_@cassaforte_
192806749	vigor cassetta portavalori art3a vuota 25x18x9	spedizione gratis a partire da 69 90 pagamenti anche alla consegna cassetta portavalori art3a vuota 25x18x9	_@cassaforte_
192826192	blinky 2716810 casseforti pavimento 366 chiave più combinazione	key combinatore struttura monoblocco acciaio 49 x 50 x 42h	_@cassaforte_
193471470	newlupex cassetta portavalori valex	cassetta portamonete codice 1453047 cassetta portamonete valex con vassoio interno a scomparti portabanconote. completa di serratura di sicurezza e 2 chiavi in dotazione. dimensioni 250x180x90mm	_@cassaforte_
194407739	hmf 10016 02 cassetta portavalori con vassoio porta monete e banconote cassetta per il trasporto 30 x 24 x 11 cm nero	vassoio portamonete euro rimovibile 275 x 110 x 20 mm con scomparti per monete da 1 centesimo 2 euro vassoio per banconote con 3 scomparti per banconote inserto in espanso nel coperchio pertenere ferme le monete durante il trasporto pratica maniglia	_@cassaforte_
194843435	cassetta portavalori office depot 12 nero 30 l x 21 p x 10 h cm		_@cassaforte_
194843437	cassetta portavalori office depot 6 nero 153 l x 120 p x 70 h mm		_@cassaforte_
194843439	cassetta portavalori office depot 8 nero 204 l x 150 p x 74 h mm		_@cassaforte_
194868803	juwel cassetta di sicurezza serie 56 elerunner 5624	la juwel cassetta di sicurezza serie 56 elerunner 5624 è un portavalori a muro con sistema di sicurezza a combinazione elettronica con blocco anti manipolazione per una maggiore sicurezza. dotata di porta in acciaio con spessore 8mm e ben 2 catenacci con	_@cassaforte_
194985398	cassetta portavalori deluxe 300x230x80 mm blu 3415bl servizi generali punto vendita	promo sconto 2 pagamento con bonifico spedizioni gratis sopra i 69€ cassette portavalori realizzate internamente in acciaio pressofuso senza saldature. la verniciatura a polvere ne garantisce durata e inalterabilit innovativo e brevettato meccanismo di	_@cassaforte_
196153193	sentry safe bauletto ignifugo e water proof sentry safe 60 minuti 395x375x193 mm lcfw30100	bauletto ignifugo e water proof. certificazione ignifuga ul classified 60 minuti per la protezione dei supporti cartacei in caso di incendio. certificazione ignifuga etl per 60 minuti per la protezione dei supporti digitali cd dvd hard disk. in caso d	_@cassaforte_
197294912	fac 25002 cassetta di sicurezza con pulsante numero 1 colore rosso	cassetta di sicurezza acciaio ad alta resistenza apertura mediante chiave pulsante verniciatura epossidica	_@cassaforte_
197868789	casseforti brixo digit varie dimensioni disponibili trasporto omaggio 	cassefori brixo digit struttura in acciaio 2 catenacci di diametro mm.20 chiusura elettronica a combinazione da 1 a 8 cifre tastiera alfanumerica led per segnalazioni sonore visive sistema di apertura di sicurezza manuale apertura motorizzata. di	_@cassaforte_
198119866	armadio portatutto cm 102 x 37 x h 163	in polipropilene riciclabile ed eco sostenibile. dotato di cerniera in acciaio antiusura. ripiani regolabili 3 ante. prodotto resistente agli agenti atmosferici inalterabile e lavabile. cm 102 x 37 x h 163	_@cassaforte_
198525925	juwel cassaforte juwel 7534 mob. masterunner s.75 elettronica		_@cassaforte_
198525926	juwel cassaforte juwel 7574 mob. masterunner s.75 elettronica		_@cassaforte_
198601280	trem casseforte in acciaio con chiave 240 x 180 x 170h mm trem	casseforte con chiave in acciaio. dimensioni 240 x 180 mm altezza 170 mm peso 4.7 kg codice ean 8024827640210	_@cassaforte_
199117411	cassaforte cassetta ignifuga per documenti cartacei technomax seri...	attenzione il seguente prodotto risulta essere di seconda scelta poich eacute presenta alcuni segni di usura dovuti all uso per l esposizione nei nostri punti vendita.specifiche tecniche cassetta ignifuga trasportabile per la protezione di documenti ca	_@cassaforte_
199395828	tudor m00428 cassetta portavalori con serratura elettronica	m00428 cassetta portavalori con serratura elettronica due cilindri di chiusura antitaglio spessore corpo 2 mm spessore porta rinforzata 3 mm dimensioni 22x19x18 cm	_@cassaforte_
200448539	maurer cassetta portavalori maurer 13x10xh6cm	lamiera in acciaio pesante verniciatura a forno chiusura tramite serratura a cilindro con scatto e mandata 2 chiavi in dotazione comprende un vassoio per banconote dimensione 13x10x6h cm.	_@cassaforte_
