web-scraper-order,web-scraper-start-url,categories,categories-href,show_all,show_all-href,title,pagination,pagination-href
"1547145250-1287","https://www.trovaprezzi.it/categorie.aspx","Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma.aspx","Vedi tutte le offerte in Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma_1.aspx","Telesystem Tv Led 9 Telesystem portatile TS09 [28000103]","",""
"1547145136-670","https://www.trovaprezzi.it/categorie.aspx","Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps.aspx","Vedi tutte le offerte in Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps_1.aspx","","11","https://www.trovaprezzi.it/prezzi_gps_11.aspx"
"1547145154-721","https://www.trovaprezzi.it/categorie.aspx","Alimenti Cani e Gatti","https://www.trovaprezzi.it/prezzi_alimenti-cani-gatti.aspx","Vedi tutte le offerte in Alimenti Cani e Gatti","https://www.trovaprezzi.it/prezzi_alimenti-cani-gatti_1.aspx","Camon Osso colorato 5 cm.","",""
"1547145307-1670","https://www.trovaprezzi.it/categorie.aspx","Notebook","https://www.trovaprezzi.it/prezzi_notebook.aspx","Vedi tutte le offerte in Notebook","https://www.trovaprezzi.it/prezzi_notebook_1.aspx","","11","https://www.trovaprezzi.it/prezzi_notebook_11.aspx"
"1547145167-808","https://www.trovaprezzi.it/categorie.aspx","Fotocamere Digitali","https://www.trovaprezzi.it/prezzi_fotocamere-digitali.aspx","Vedi tutte le offerte in Fotocamere Digitali","https://www.trovaprezzi.it/prezzi_fotocamere-digitali_1.aspx","Lexibook Fotocamera Digitale Giocattolo Lexibook Spider-Man 5 megapixels LE-DJ028SP","",""
"1547145211-1020","https://www.trovaprezzi.it/categorie.aspx","Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici.aspx","Vedi tutte le offerte in Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici_1.aspx","SEMI-PRO TR 87 4.10 0 6 Schl?uche","",""
"1547145096-498","https://www.trovaprezzi.it/categorie.aspx","Anelli","https://www.trovaprezzi.it/prezzi_anelli.aspx","Vedi tutte le offerte in Anelli","https://www.trovaprezzi.it/prezzi_anelli_1.aspx","Morellato Anello in acciaio Donna","",""
"1547145323-1777","https://www.trovaprezzi.it/categorie.aspx","Frigoriferi e Congelatori","https://www.trovaprezzi.it/prezzi_frigoriferi-congelatori.aspx","Vedi tutte le offerte in Frigoriferi e Congelatori","https://www.trovaprezzi.it/prezzi_frigoriferi-congelatori_1.aspx","Giostyle Frigorifero da viaggio Giostyle Shovera 26lt classe A+++","",""
"1547145190-941","https://www.trovaprezzi.it/categorie.aspx","Seggiolini auto","https://www.trovaprezzi.it/prezzi_seggiolini-auto.aspx","Vedi tutte le offerte in Seggiolini auto","https://www.trovaprezzi.it/prezzi_seggiolini-auto_1.aspx","","2","https://www.trovaprezzi.it/prezzi_seggiolini-auto_2.aspx"
"1547145286-1484","https://www.trovaprezzi.it/categorie.aspx","Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina.aspx","Vedi tutte le offerte in Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_1.aspx","VASCHETTA ALLUMINIO 6 X 8,5 CM","",""
"1547145266-1402","https://www.trovaprezzi.it/categorie.aspx","Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive.aspx","Vedi tutte le offerte in Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive_1.aspx","BILLABONG H9FF02, Scarpe Indoor Multisport Donna Nero, Donna, H9FF02, Taglia 40","",""
"1547145107-540","https://www.trovaprezzi.it/categorie.aspx","Occhiali da Sole","https://www.trovaprezzi.it/prezzi_occhiali-da-sole.aspx","Vedi tutte le offerte in Occhiali da Sole","https://www.trovaprezzi.it/prezzi_occhiali-da-sole_1.aspx","3 OCCHIALI DA SOLE REFLEXXVISION UV 400 UOMO MODELLO ASCOLI COLORI ASSORTITI","",""
"1547145246-1252","https://www.trovaprezzi.it/categorie.aspx","Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali.aspx","Vedi tutte le offerte in Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali_1.aspx","Techmade Batteria Per Action Cam Tm-Js108 Bulk 1050Mah","",""
"1547145140-700","https://www.trovaprezzi.it/categorie.aspx","Orologi da Polso","https://www.trovaprezzi.it/prezzi_orologi-polso.aspx","Vedi tutte le offerte in Orologi da Polso","https://www.trovaprezzi.it/prezzi_orologi-polso_1.aspx","Hello Kitty Orologio donna Hello Kitty HELLO KITTY HK25961 NANDIDA.com","",""
"1547145179-914","https://www.trovaprezzi.it/categorie.aspx","Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli.aspx","Vedi tutte le offerte in Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli_1.aspx","","15","https://www.trovaprezzi.it/prezzi_giocattoli_15.aspx"
"1547145314-1717","https://www.trovaprezzi.it/categorie.aspx","Forni","https://www.trovaprezzi.it/prezzi_forni-microonde.aspx","Vedi tutte le offerte in Forni","https://www.trovaprezzi.it/prezzi_forni-microonde_1.aspx","","18","https://www.trovaprezzi.it/prezzi_forni-microonde_18.aspx"
"1547145211-1001","https://www.trovaprezzi.it/categorie.aspx","Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici.aspx","Vedi tutte le offerte in Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici_1.aspx","ARMOUR 64MM 15 4.50 8 Wulstb?nder","",""
"1547145136-676","https://www.trovaprezzi.it/categorie.aspx","Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps.aspx","Vedi tutte le offerte in Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps_1.aspx","","17","https://www.trovaprezzi.it/prezzi_gps_17.aspx"
"1547145136-651","https://www.trovaprezzi.it/categorie.aspx","Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps.aspx","Vedi tutte le offerte in Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps_1.aspx","Wistiki Ecco-Tracker di Oggetto, Giallo","",""
"1547145092-442","https://www.trovaprezzi.it/categorie.aspx","Bracciali","https://www.trovaprezzi.it/prezzi_bracciali.aspx","Vedi tutte le offerte in Bracciali","https://www.trovaprezzi.it/prezzi_bracciali_1.aspx","BACI MILANO braccialetto gioie lilla","",""
"1547145167-835","https://www.trovaprezzi.it/categorie.aspx","Fotocamere Digitali","https://www.trovaprezzi.it/prezzi_fotocamere-digitali.aspx","Vedi tutte le offerte in Fotocamere Digitali","https://www.trovaprezzi.it/prezzi_fotocamere-digitali_1.aspx","","16","https://www.trovaprezzi.it/prezzi_fotocamere-digitali_16.aspx"
"1547145136-653","https://www.trovaprezzi.it/categorie.aspx","Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps.aspx","Vedi tutte le offerte in Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps_1.aspx","Garmin Sensore di velocitá","",""
"1547145262-1398","https://www.trovaprezzi.it/categorie.aspx","Biciclette","https://www.trovaprezzi.it/prezzi_biciclette-accessori.aspx","Vedi tutte le offerte in Biciclette","https://www.trovaprezzi.it/prezzi_biciclette-accessori_1.aspx","","19","https://www.trovaprezzi.it/prezzi_biciclette-accessori_19.aspx"
"1547145179-919","https://www.trovaprezzi.it/categorie.aspx","Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli.aspx","Vedi tutte le offerte in Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli_1.aspx","","20","https://www.trovaprezzi.it/prezzi_giocattoli_20.aspx"
"1547145298-1581","https://www.trovaprezzi.it/categorie.aspx","Stampanti","https://www.trovaprezzi.it/prezzi_stampanti.aspx","Vedi tutte le offerte in Stampanti","https://www.trovaprezzi.it/prezzi_stampanti_1.aspx","","2","https://www.trovaprezzi.it/prezzi_stampanti_2.aspx"
"1547145250-1300","https://www.trovaprezzi.it/categorie.aspx","Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma.aspx","Vedi tutte le offerte in Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma_1.aspx","NORDMENDE ND22N2000E TV LED 22 FHD DVB-T2 USB HDMI HECV FUNZIONI HOTEL","",""
"1547145277-1442","https://www.trovaprezzi.it/categorie.aspx","Cellulari","https://www.trovaprezzi.it/prezzi_cellulari.aspx","Vedi tutte le offerte in Cellulari","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","TECHMADE PELLICOLA PROTETTIVA PER C451 5,6 LUCIDA","",""
"1547145258-1323","https://www.trovaprezzi.it/categorie.aspx","Integratori per lo Sport","https://www.trovaprezzi.it/prezzi_integratori-sport.aspx","Vedi tutte le offerte in Integratori per lo Sport","https://www.trovaprezzi.it/prezzi_integratori-sport_1.aspx","Bolero Sport (9g)","",""
"1547145250-1297","https://www.trovaprezzi.it/categorie.aspx","Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma.aspx","Vedi tutte le offerte in Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma_1.aspx","ZENYTH ZENITH ZY24HD - TV LED 24 HD","",""
"1547145292-1543","https://www.trovaprezzi.it/categorie.aspx","Elettroutensili","https://www.trovaprezzi.it/prezzi_elettroutensili.aspx","Vedi tutte le offerte in Elettroutensili","https://www.trovaprezzi.it/prezzi_elettroutensili_1.aspx","","4","https://www.trovaprezzi.it/prezzi_elettroutensili_4.aspx"
"1547145123-568","https://www.trovaprezzi.it/categorie.aspx","Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi.aspx","Vedi tutte le offerte in Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_1.aspx","VICHY CATALAN (VCH) Barcelona Premium Tonic Water 250ml","",""
"1547145266-1422","https://www.trovaprezzi.it/categorie.aspx","Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive.aspx","Vedi tutte le offerte in Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive_1.aspx","","3","https://www.trovaprezzi.it/prezzi_scarpe-sportive_3.aspx"
"1547145075-418","https://www.trovaprezzi.it/categorie.aspx","Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali.aspx","Vedi tutte le offerte in Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali_1.aspx","Arda Flauto smontabile in abs Arda - bianco - flauto - 117M","",""
"1547145307-1676","https://www.trovaprezzi.it/categorie.aspx","Notebook","https://www.trovaprezzi.it/prezzi_notebook.aspx","Vedi tutte le offerte in Notebook","https://www.trovaprezzi.it/prezzi_notebook_1.aspx","","17","https://www.trovaprezzi.it/prezzi_notebook_17.aspx"
"1547145162-772","https://www.trovaprezzi.it/categorie.aspx","Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere.aspx","Vedi tutte le offerte in Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere_1.aspx","Nikon HB-N102 - Paraluce x 10-100mm JVB10201 - Originale","",""
"1547145162-790","https://www.trovaprezzi.it/categorie.aspx","Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere.aspx","Vedi tutte le offerte in Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere_1.aspx","","11","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere_11.aspx"
"1547145246-1262","https://www.trovaprezzi.it/categorie.aspx","Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali.aspx","Vedi tutte le offerte in Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali_1.aspx","","3","https://www.trovaprezzi.it/prezzi_videocamere-digitali_3.aspx"
"1547145277-1466","https://www.trovaprezzi.it/categorie.aspx","Cellulari","https://www.trovaprezzi.it/prezzi_cellulari.aspx","Vedi tutte le offerte in Cellulari","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","","7","https://www.trovaprezzi.it/prezzi_cellulari_7.aspx"
"1547145277-1457","https://www.trovaprezzi.it/categorie.aspx","Cellulari","https://www.trovaprezzi.it/prezzi_cellulari.aspx","Vedi tutte le offerte in Cellulari","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","BULLTEK Power Bank Bulltek Y1E 2600MAH Whit","",""
"1547145198-981","https://www.trovaprezzi.it/categorie.aspx","Carrozzine e Passeggini","https://www.trovaprezzi.it/prezzi_carrozzine-passeggini.aspx","Vedi tutte le offerte in Carrozzine e Passeggini","https://www.trovaprezzi.it/prezzi_carrozzine-passeggini_1.aspx","","2","https://www.trovaprezzi.it/prezzi_carrozzine-passeggini_2.aspx"
"1547145236-1191","https://www.trovaprezzi.it/categorie.aspx","Integratori e Coadiuvanti","https://www.trovaprezzi.it/prezzi_integratori-coadiuvanti.aspx","Vedi tutte le offerte in Integratori e Coadiuvanti","https://www.trovaprezzi.it/prezzi_integratori-coadiuvanti_1.aspx","","12","https://www.trovaprezzi.it/prezzi_integratori-coadiuvanti_12.aspx"
"1547145075-438","https://www.trovaprezzi.it/categorie.aspx","Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali.aspx","Vedi tutte le offerte in Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali_1.aspx","","19","https://www.trovaprezzi.it/prezzi_strumenti-musicali_19.aspx"
"1547145298-1570","https://www.trovaprezzi.it/categorie.aspx","Stampanti","https://www.trovaprezzi.it/prezzi_stampanti.aspx","Vedi tutte le offerte in Stampanti","https://www.trovaprezzi.it/prezzi_stampanti_1.aspx","DYMO ETICHETTATRICE A RILIEVO DYMO JUNIOR IN BLISTER 127470 (unità vendita 1 pz.)","",""
"1547145128-605","https://www.trovaprezzi.it/categorie.aspx","Vini","https://www.trovaprezzi.it/prezzi_vini.aspx","Vedi tutte le offerte in Vini","https://www.trovaprezzi.it/prezzi_vini_1.aspx","Spumante Pinot di Pinot Brut Gancia 20 cl - Bollicine","",""
"1547145128-608","https://www.trovaprezzi.it/categorie.aspx","Vini","https://www.trovaprezzi.it/prezzi_vini.aspx","Vedi tutte le offerte in Vini","https://www.trovaprezzi.it/prezzi_vini_1.aspx","Santero 958 ice moscato dry 200 ml","",""
"1547145246-1279","https://www.trovaprezzi.it/categorie.aspx","Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali.aspx","Vedi tutte le offerte in Videocamere Digitali","https://www.trovaprezzi.it/prezzi_videocamere-digitali_1.aspx","","20","https://www.trovaprezzi.it/prezzi_videocamere-digitali_20.aspx"
"1547145128-614","https://www.trovaprezzi.it/categorie.aspx","Vini","https://www.trovaprezzi.it/prezzi_vini.aspx","Vedi tutte le offerte in Vini","https://www.trovaprezzi.it/prezzi_vini_1.aspx","Kellerei Meran Roter Tafelwein Burggräfler","",""
"1547145286-1487","https://www.trovaprezzi.it/categorie.aspx","Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina.aspx","Vedi tutte le offerte in Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_1.aspx","poloplast vassoio quadrato piccolo 6x6x0,9h cm 100pz oro","",""
"1547145266-1432","https://www.trovaprezzi.it/categorie.aspx","Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive.aspx","Vedi tutte le offerte in Scarpe Sportive","https://www.trovaprezzi.it/prezzi_scarpe-sportive_1.aspx","","13","https://www.trovaprezzi.it/prezzi_scarpe-sportive_13.aspx"
"1547145307-1653","https://www.trovaprezzi.it/categorie.aspx","Notebook","https://www.trovaprezzi.it/prezzi_notebook.aspx","Vedi tutte le offerte in Notebook","https://www.trovaprezzi.it/prezzi_notebook_1.aspx","Mediacom SmartBook 144 Grigio Computer portatile 35,6 cm (14'') 1920 x","",""
"1547145286-1483","https://www.trovaprezzi.it/categorie.aspx","Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina.aspx","Vedi tutte le offerte in Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_1.aspx","BILT Bustine di Decalcificante ecologico Bilt","",""
"1547145136-643","https://www.trovaprezzi.it/categorie.aspx","Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps.aspx","Vedi tutte le offerte in Navigatori GPS","https://www.trovaprezzi.it/prezzi_gps_1.aspx","ROYALTEK Batteria PER ANT.GPS Royaltek 680MA","",""
"1547145227-1082","https://www.trovaprezzi.it/categorie.aspx","Prodotti per il Corpo","https://www.trovaprezzi.it/prezzi_prodotti-corpo.aspx","Vedi tutte le offerte in Prodotti per il Corpo","https://www.trovaprezzi.it/prezzi_prodotti-corpo_1.aspx","TERUMO ITALIA SRL SIR. 2,5ml 21g 1pz TERUMO","",""
"1547145175-843","https://www.trovaprezzi.it/categorie.aspx","Console Giochi","https://www.trovaprezzi.it/prezzi_console.aspx","Vedi tutte le offerte in Console Giochi","https://www.trovaprezzi.it/prezzi_console_1.aspx","Hinnovation Console Hinnovation My Arcade Gaming Retro +220 giochi DGUN-2918 GAME V PORTABLE","",""
"1547145128-637","https://www.trovaprezzi.it/categorie.aspx","Vini","https://www.trovaprezzi.it/prezzi_vini.aspx","Vedi tutte le offerte in Vini","https://www.trovaprezzi.it/prezzi_vini_1.aspx","","18","https://www.trovaprezzi.it/prezzi_vini_18.aspx"
"1547145075-428","https://www.trovaprezzi.it/categorie.aspx","Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali.aspx","Vedi tutte le offerte in Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali_1.aspx","","9","https://www.trovaprezzi.it/prezzi_strumenti-musicali_9.aspx"
"1547145140-690","https://www.trovaprezzi.it/categorie.aspx","Orologi da Polso","https://www.trovaprezzi.it/prezzi_orologi-polso.aspx","Vedi tutte le offerte in Orologi da Polso","https://www.trovaprezzi.it/prezzi_orologi-polso_1.aspx","OROLOGIO DA POLSO LED TOUCH QUADRATO UOMO DONNA BRACCIALE SILICONE WATCH UNISEX","",""
"1547145128-629","https://www.trovaprezzi.it/categorie.aspx","Vini","https://www.trovaprezzi.it/prezzi_vini.aspx","Vedi tutte le offerte in Vini","https://www.trovaprezzi.it/prezzi_vini_1.aspx","","10","https://www.trovaprezzi.it/prezzi_vini_10.aspx"
"1547145242-1211","https://www.trovaprezzi.it/categorie.aspx","Home Theater","https://www.trovaprezzi.it/prezzi_home-theater.aspx","Vedi tutte le offerte in Home Theater","https://www.trovaprezzi.it/prezzi_home-theater_1.aspx","Lenovo Usb Soundbar","",""
"1547145162-777","https://www.trovaprezzi.it/categorie.aspx","Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere.aspx","Vedi tutte le offerte in Obiettivi per Fotocamere","https://www.trovaprezzi.it/prezzi_obiettivi-per-fotocamere_1.aspx","OBIETTIVO PER INGRANDITORE 75/4,5","",""
"1547145319-1751","https://www.trovaprezzi.it/categorie.aspx","Lavatrici e Asciugatrici","https://www.trovaprezzi.it/prezzi_lavatrici-asciugatrici.aspx","Vedi tutte le offerte in Lavatrici e Asciugatrici","https://www.trovaprezzi.it/prezzi_lavatrici-asciugatrici_1.aspx","","12","https://www.trovaprezzi.it/prezzi_lavatrici-asciugatrici_12.aspx"
"1547145198-980","https://www.trovaprezzi.it/categorie.aspx","Carrozzine e Passeggini","https://www.trovaprezzi.it/prezzi_carrozzine-passeggini.aspx","Vedi tutte le offerte in Carrozzine e Passeggini","https://www.trovaprezzi.it/prezzi_carrozzine-passeggini_1.aspx","Lorelli Passeggino Light","",""
